Group,People,Members,Segment,Roles,Mappings
MHO_CS_GOVTREL_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CS_LANDREL_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CS_LOS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CS_MSR_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_CS_PARTDEV_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GA_AM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GA_GL_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GA_HCONSOL_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GA_TAX_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GCA_DIINVESTN_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GCA_EOOPS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GCA_PM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GCA_PMOPS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GCO_GCO_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GIG_GIG_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_GRM_GRM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_HRM_HRBP_IR_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_HRM_HRRSP_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_HRM_ODTM_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_ITS_BADEV_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_ITS_INFRA_ITS_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
MHO_ITS_SAPSTRATPD_APR_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Approver — Highly Confidential cleared; Delete pending files; Delete approved documents; Share approved documents; Uploader — Highly Confidential cleared; Delete pending files — Highly Confidential cleared; Delete approved documents — Highly Confidential cleared; Share approved documents — Highly Confidential cleared,8
